label,text
"Проект ""Обустройство площадных объектов НГКМ Поменбше""","[ORGANIZATION] ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ у. [PERSON] [PERSON], д. [NUMBER], г. [LOCATION], [CONTACT] ОКПО [ID], ОГРН [ID], ИНН/КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] Руководителю проекта [OBJECT] [ORGANIZATION] [PERSON] О согласовании заключения изм.4 Наряд-Заказа No[NUMBER] Уважаемый [PERSON]! Наравляю Вам подписанное со стороны [ORGANIZATION] изменение No4 Наряд-Заказа No[NUMBER] к договору No[DOCUMENT_NUMBER] от [DATE_TIME] на выполнение комплекса работ по строительству объектов навигационной транспортной инфраструктуры и газового конденсата [OBJECT] Проведены изменения со стороны [ORGANIZATION]. Приложение: Изменение No4 Наряд-Заказа No[NUMBER] к договору No[DOCUMENT_NUMBER] от [DATE_TIME] на [NUMBER] Генеральный директор [PERSON] [PERSON] [CONTACT], доб. [NUMBER] [CONTACT]"
Проект сервиса скважин,"[ORGANIZATION] Адрес для почтовой корреспонденции: а/я [LOCATION], г. [LOCATION], [DATE_TIME] Юридический адрес: [LOCATION] Тел.: [CONTACT] Факс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION] [ID], [ID], [ID], [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от О запросе обосновывающих материалов Уважаемый [PERSON]! Информируем Вас, что в рамках утвержденного Департаментом [ORGANIZATION] задания на разработку проектной документации [OBJECT] на строительство боковых стволов в эксплуатационных газовых скважинах [OBJECT] при разработке раздела Сметная документация в соответствии с требованиями п.5.3 следует учесть затраты на сервисы, указанные в приложении. Просим Вас подготовить имеющиеся в наличии материалы (конкретные заключенные договоры, коммерческие предложения, расчеты, калькуляции и другие материалы) по указанным сервисным услугам и направить их на адрес электронной почты [CONTACT]. Приложение - Перечень сервисных услуг при строительстве боковых стволов в эксплуатационных газовых скважинах [OBJECT] - 1 лист 1 экз. Главный инженер - заместитель генерального директора [PERSON] [PERSON] [CONTACT]. Приложение к письму [DOCUMENT_NUMBER] Перечень сервисных услуг при строительстве боковых стволов в эксплуатационных газовых скважинах [OBJECT] 1. Долотный сервис. 2. Сервис по вырезанию окна. 3. Сервис по ННБ, включая каротаж в процессе бурения модулем гамма-каротажа и резистивиметрии, (для целей замены комплекса ГИС в открытом стволе). 4. Сервис по буровым растворам. 5. Сервис по обращению с отходами производства и потребления (сбор, накопление, транспортирование, обезвреживание/утилизация). 6. Сервис по цементированию обсадных колонн, хвостовиков и установке цементных мостов. 7. Сервис по подготовке и инженерному сопровождению спуска хвостовиков. 8. Сервис по освоению и проведению газодинамических (газоконденсатных) исследований. 9. Сервис по применению ГНКТ. 10. Геофизические работы и услуги. 11. Сервис по освоению скважин. 12. Сервис по интенсификации притока скважин. 13. Сервис по извлечению/спуску КПО. 14. Сервис по проведению экологического мониторинга и природоохранных мероприятий. 15. Сервис на предоставление услуг спутниковой связи. 16. Сервис на осуществление противовоздушной безопасности с привлечением [ORGANIZATION]. 17. Сервис на доотсыпку эксплуатационной кустовой площадки: под расстановку бурового оборудования, вахтового поселка и факельной чаши под освоение скважины. 18. Сервис на подготовительные работы по демонтажу и последующему монтажу устьевой обвязки скважины кандидата, укрытие действующих скважин кустовой площадки в соответствии с требованиями регламентирующих документов."
Блок директора по мощностям,"[ORGANIZATION] нефтегазового сервиса Юр. адрес: [LOCATION] Почт. адрес: [LOCATION] Тел.: [CONTACT] E-mail: [CONTACT] www.[ORGANIZATION] No [DOCUMENT_NUMBER] от [DATE_TIME] г. на No [DOCUMENT_NUMBER] от [DATE_TIME] г. Начальнику отдела по бурению [ORGANIZATION] [PERSON] Об организации проживания по концепции КЕМП Уважаемый [PERSON]! В ответ на письмо No [DOCUMENT_NUMBER] от [DATE_TIME] г. сообщаем Вам следующее. В предложенной концепции организации размещения персонала на объектах бурения выделено [FINANCIAL_DATA] койко-место, при этом, в зависимости от этапа работ на объекте одновременно выполняют работы до [FINANCIAL_DATA] сотрудников от различных организаций. Кроме того, расположение вагон-домов в виде общих модулей не соответствует требованиям пожарной безопасности [ORGANIZATION] в части соблюдения минимальных расстояний между отдельными вагонами и группами вагонов. Учитывая текущее сложное финансовое-экономическое положение, [ORGANIZATION] не может принять на себя обязательства по закупке и оснащению вагонов для организации проживания персонала в соответствии с предложенной концепцией КЕМП. Руководитель проекта департамента управления проектами [PERSON] Исп. [PERSON] Тел. [CONTACT], доб [FINANCIAL_DATA] E-mail. [CONTACT]"
Блок заместителя генерального директора по безопасности,"[ORGANIZATION] Общество с ограниченной ответственностью [ORGANIZATION] Уренгойский филиал Начальнику управления промышленной безопасности, пожарной безопасности, ГО и ЧС [ORGANIZATION] Д.В. [PERSON] [CONTACT] [LOCATION] [DATE_TIME] No [DOCUMENT_NUMBER] на No от Об участии представителей в ТСУ Уважаемый [PERSON]! На Ваш исх. от [DATE_TIME] No [DOCUMENT_NUMBER] направляем Вам сведения об участии представителей [ORGANIZATION] в проведении тактико-специальных учений (далее - ТСУ) по взаимодействию сил и средств корпоративной системы гражданской защиты [ORGANIZATION]. Приложение: 1. Сведения об участии в проведении ТСУ на 1 л. в 1 экз. Главный инженер [PERSON] [PERSON] [CONTACT] Сведения об участии представителей [ORGANIZATION] в ТСУ. No п/п [PERSON] [PERSON] [PERSON] [CONTACT] 1. [PERSON] [PERSON] [PERSON] Ведущий инженер отдела МП, ГО и ЧС Администрации [ORGANIZATION] [CONTACT] 2 * [PERSON] [PERSON] Начальник службы по связям с общественностью и средствами массовой информации Администрации [ORGANIZATION] [CONTACT] 3. [PERSON] [PERSON] Инженер по ГО и ЧС 1 категории Уренгойского филиала [ORGANIZATION] [CONTACT] 4. [PERSON] [PERSON] Начальник цеха энергоснабжения НСЭВС Уренгойского филиала [ORGANIZATION] [CONTACT] 5. Дежурный слесарь АВР *Примечание: По согласованию"
Управление землеустроительных работ,"[ORGANIZATION] АОБЫЧА НОЯБРЬСК Объектное охраняемое отвественное тело [ORGANIZATION] АОБЫЧА НОЯБРЬСК ([ORGANIZATION] Газпром АОБЫЧА НОЯБРЬСК) Уважаемый [PERSON]! В ответ на Ваш запрос сообщаем, что [ORGANIZATION] Газпром АОБЫЧА НОЯБРЬСК согласована продолжительность аренды с использованием БВС на территории [OBJECT] в срок до [DATE_TIME]. Непрерывность использования БВС к проведению аэрофотометрической работы, направляется. Беспрецедентное использование БВС, согласованное к использованию: Наименование Учетный номер Серию и номер Инспектор по техническому надзору [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [PERSON] от [DATE_TIME] (с [DATE_TIME] по [DATE_TIME]) Приказом [ORGANIZATION] организационно-информационное управление Связьбизнеса на основании договора на оказание услуг по проведению электронной адресации: [CONTACT]. Дополнительно при навигации/окончании работы необходимо уведомить [ORGANIZATION] Газпром АОБЫЧА НОЯБРЬСК. Контактные лица: [PERSON], рабочий телефон: [CONTACT], [PERSON], рабочий телефон: [CONTACT]. Приложение: 1. Непрерывность использования аэрофотометрической работы, на 1 л.в 1 экз.; 2. Начало использования объекта на 1 л.в 1 экз. Заместитель генерального директора по корпоративному зданию [PERSON] [ID] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Внаделен: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
Блок заместителя генерального директора по организационным вопросам,"Офисно-общественный комплекс [OBJECT], стр.15 п/о [LOCATION], [DATE_TIME] Тел.: [CONTACT] Факс: [CONTACT] E-mail: [CONTACT] Исх. No [DOCUMENT_NUMBER] От [DATE_TIME] Заместителю генерального директора по организационным вопросам [ORGANIZATION] [PERSON] Уважаемый [PERSON]! Между [ORGANIZATION] (далее - Заказчик) и [ORGANIZATION] (далее - Исполнитель) заключен Договор No [DOCUMENT_NUMBER] от [DATE_TIME]. Настоящим письмом [ORGANIZATION] сообщает о согласии на изменение дополнительного соглашения No 6 по внесению изменений: 1. Приведение фиксированной части расчета стоимости услуг к фактической по состоянию на [DATE_TIME]. Перенос неиспользованной гарантированной части сумм по организации разовых услуг питания, текущему ремонту зданий и сооружений, инженерных систем, сетей и оборудования социально-бытового назначения, благоустройству объектов социально-бытового назначения и прилегающей территории в гарантированную часть [DATE_TIME]. 2. Переход негарантированного периода [DATE_TIME] в гарантированный период [DATE_TIME] (с [DATE_TIME] по [DATE_TIME]). 3. Актуализация Соглашения об использовании электронного документооборота, в соответствии с приказом [ORGANIZATION] от [DATE_TIME] ЕД-[DOCUMENT_NUMBER]. 4. Уменьшение сроков оказания услуг по [DATE_TIME] и срока действия Договора по [DATE_TIME], с уменьшением суммы по Договору на [FINANCIAL_DATA] без учета НДС. Приложения к письму: 1. Приложение No1. Дополнительное соглашение No6 Генеральный директор [PERSON] Бесплатная горячая линия: [CONTACT] *662 - с мобильных [CONTACT] ИНН [ID] КПП [ID] ОКПО [ID] ОРГН [ID] ISO 9001 ISO 14001 OHSAS 18001 ISO 22000"
Блок технического директора,"[ORGANIZATION] ИНН: [ID] / ОГРН [DOCUMENT_NUMBER] Фактический адрес: [LOCATION] Почтовый адрес: [LOCATION] Р/счет: [FINANCIAL_DATA] Филиал Точка Публичного акционерного общества Банка [ORGANIZATION] Открытие БИК: [ID] К/счет: [FINANCИAL_DATA] Эл. почта: [CONTACT] Исх. No [DOCUMENT_NUMBER] От [DATE_TIME] Уважаемый [PERSON]! На основании договора [DOCUMENT_NUMBER] от [DATE_TIME] на обслуживание, ремонт и монтаж технических средств безопасности на объектах Заказчика, расположенных на [OBJECT], [ORGANIZATION], куст No [NUMBER], [PERSON] должен приступить к работам с [DATE_TIME]. За неделю до плановой даты заезда [PERSON] написано заявление на увольнении по собственному желанию, в связи с чем произошел перенос даты начала работ. На данный момент вновь устраиваемый [PERSON] направлен на прохождение медицинской комиссии и необходимых обучений для согласования пропуска, плановая дата заезда [DATE_TIME] при согласовании гостевого пропуска. С уважением, Директор [PERSON]"
Управление по проектным работам,"[ORGANIZATION] [LOCATION] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] направлении замечаний к отчету Уважаемый [PERSON]! Проанализировав направленные откорректированные материалы изысканий по объекту [OBJECT]. Компрессорная станция в части разрезов под ГПА ([NUMBER]-[NUMBER], [NUMBER]-[NUMBER], [NUMBER]-[NUMBER], [NUMBER]-[NUMBER]), направляем в Ваш адрес Замечания [FILIAL] [ORGANIZATION]: 1. Литологическая структура грунтов отличается от ранее направленной - в вышеговоренных разрезах появились новые ИГЭ с иными напластованием и свойствами. 2. Показатели физико-механических свойств грунтов (таблицы 7.1, 7.2) отличаются от ранее направленных. 3. Положение геологических разрезов и скважин отличается от ранее направленных. 4. В соответствии с текстовым описанием геокриолого-геоморфологического условия (раздел 8.1) в скважинах вышеговоренных разрезов встречены многолетнемерзлые грунты, что не соответствует графической части - в разрезах не показаны ни кровли залегания мерзлоты, ни номера ИГЭ с ММГ. 5. В направленных материалах ИГИ отсутствует информация о набухании и просадочности грунтов. 6. Учитывая принятый принцип использования грунтов (в талом состоянии) для мерзлых грунтов необходимо предоставление физико-механических характеристик в оттащенном состоянии. [PERSON] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
Блок технического директора,"[ORGANIZATION] Юридический адрес: [LOCATION] Адрес для корреспонденции: а/я [NUMBER], [LOCATION] ИНН [ID], ОГРН [DOCUMENT_NUMBER], КПП [ID] E-mail: [CONTACT] [ORGANIZATION] Техническому директору [PERSON] От [DATE_TIME] No [DOCUMENT_NUMBER] на No [FINANCIAL_DATA] от [DATE_TIME]; О согласовании состава работ Уважаемый [PERSON]! В ответ на Ваше письмо No [FINANCIAL_DATA] от [DATE_TIME] сообщаем, что в соответствии с требованиями Договора на оказание услуги [DOCUMENT_NUMBER] Аварийно-восстановительный и капитальный ремонт электродвигателей для нужд [ORGANIZATION] No[DOCUMENT_NUMBER]/[DOCUMENT_NUMBER]/[DOCUMENT_NUMBER]/[DOCUMENT_NUMBER] (далее Договор), для проведения аварийно-восстановительного ремонта электродвигателя зав. номер [DOCUMENT_NUMBER] производства [ORGANIZATION] (далее Завод-изготовитель) привлечена аккредитованная заводом-изготовителем (имеется сертификат, см. Приложение А к настоящему письму) организация [ORGANIZATION] (далее Исполнитель). На запрос о направлении подтверждающих документов по расценкам и составу работ по позициям п.7-п.23, указанных в нашем письме No Исх/ИЦ/[DOCUMENT_NUMBER]-[DOCUMENT_NUMBER] от [DATE_TIME], как не вошедших в перечень работ по Приложению No3 Договора, получен ответ от Исполнителя, что стоимость каждой операции формируется на основе внутренних нормативных документов Исполнителя и зависит от сложности требуемых работ, от объема проводимых операций, а также от модели ремонтируемого электродвигателя. Комплект указанных документов (состав и стоимость) Исполнитель предоставляет в каждом конкретном случае, что и было сделано Исполнителем по результатам проведения совместной дефектовки [DATE_TIME]-[DATE_TIME], технико-коммерческая часть направлена ваш адрес письмом No Исх-ИЦ-[DOCUMENT_NUMBER]-[DOCUMENT_NUMBER] [DOCUMENT_NUMBER] от [DATE_TIME]. В части подтверждения состава работ, дополнительно, сообщаю, что указанный в нашем письме No Исх-ИЦ-[DOCUMENT_NUMBER]-[DOCUMENT_NUMBER] [DOCUMENT_NUMBER] от [DATE_TIME] общий состав работ, как по приложению No3 к Договору, так и не вошедший в него (п.7-п.23), предварительно, до отправки в ваш адрес, был согласован с заводом-изготовителем (также принимавшим участие в дефектовке удаленно, с помощью технологий дополненной реальности), является необходимым и исчерпывающим для проведения ремонта электродвигателя зав. номер [DOCUMENT_NUMBER] производства [ORGANIZATION]. Официальный ответ завода-изготовителя на соответствующий запрос по данному вопросу ожидаем в ближайшие дни, направим дополнительно. В ответ на просьбу по уточнению некоторых моментов, направляю следующие пояснения (нумерация ответов сохранена в соответствии с нумерацией вопросов в вашем письме NoNo [FINANCIAL_DATA] от [DATE_TIME]): 1. Перечисленные вами операции (п.8, п.9, п.21) являются различными, разнесенными во времени и очередности технологическими операциями и никакого дублирования между ними не имеется. Операция Окрашивание электрической машины (п.8) проводится после полной сборки и испытания электродвигателя. Операция Окрашивание внутренних поверхностей деталей и узлов электрической машины (п.9) производиться до передачи на окончательную сборку. Операция окрашивание обмотки статора электроизоляционной эмалью (п.21) является завершающей перед сдачей статора в окончательную сборку электродвигателя. Окрашивание внутренних деталей, узлов и обмотки, проводятся отдельно (разнесены также технологически), так как в собранном состоянии окрасить их невозможно. При проведении различных этапов ремонта заводской слой ЛКП будет поврежден, что повлечет за собой коррозию открытых участков стали. Все указанные операции являются неотъемлемой частью капитального ремонта взрывозащищенных электрических машин. Без восстановления лакокрасочного покрытия гарантийные обязательства на электродвигатель со стороны Исполнителя не распространяются. 2. Перечисленные вами операции (п.1, п.21) являются различными, разнесенными во времени и очередности технологическими операциями и никакого дублирования между ними не имеется. Объем работ, проводимых при операции Замена обмотки статора с пропиткой обмоток пропиточным компаундом (п.1), необходим для восстановления изоляции Монолит-2 статора электродвигателя. Операция окрашивание обмоток электроизоляционной эмалью (п.21) проводится после восстановления изоляции и является отдельным технологическим процессом. В стоимость работ Замена обмотки статора с пропиткой обмоток пропиточным компаундом заложены работы, включающие в себя демонтаж старых секций, производство и монтаж новых секций, восстановление изоляции Монолит-2, а также заложена стоимость материалов: меди, компаунда и всех сопутствующих расходных материалов. Операция Замена обмотки статора с пропиткой обмоток пропиточным компаундом не подразумевает под собой, как итог, полностью готовый к сбору статор электродвигателя. В ходе диагностики формируется список необходимых работ, которые могут отличаться от модели к модели в зависимости от технологических карт завода-изготовителя. В данном случае окрашивание обмоток электроизоляционной эмалью проводится в строгом соответствии с требованиями завода-изготовителя. 3. Перечисленные вами операции (п.10, п.12, п.13) являются различными, разнесенными во времени и очередности технологическими операциями и никакого дублирования между ними не имеется. Приемо-сдаточные испытания (п.10) выполняются после проведения всех ремонтных работ, испытания включают в себя целый комплекс замеров согласно требованиям завода-изготовителя. Испытания активного железа (п.12) происходят при демонтаже поврежденных секций для выявления возможных дефектов стали статора. Испытание статора в сборе и испытание каждой катушки по отдельности (п.13) происходит после их укладки в пазы. Все три операции выполняются на различных этапах ремонта электродвигателя. 4. Перечисленные вами операции (п.7, п.11, п.13) не являются дополнительными, напротив являются необходимыми. В наш адрес на ремонт поступают не только машины в сборе, но и отдельные узлы электродвигателей. По желанию заказчика Исполнитель может провести их восстановление отдельно, без дальнейшей сборки двигателя, по этой причине стоимость сборки выставляется отдельной строкой. Консервация осуществляется после сборки электродвигателя, прохождения им приемо-сдаточных испытаний и финишной окраской перед отгрузкой для исключения возникновения дефектов посадочных и присоединительных поверхностей в ходе транспортировки и дальнейшего хранения, появление указанных дефектов может стать причиной снятия гарантии. Ввиду этого операция Замена обмотки статора с пропиткой обмоток пропиточным компаундом не включает в себя разбор и сбор электродвигателя. 5. Перечисленные вами операции (п.14, п.22) являются различными, разнесенными во времени и очередности технологическими операциями и никакого дублирования между ними не имеется. Подшипниковый щит и подшипниковые крышки являются различными элементами электродвигателя. Необходимые ремонтные работы, выявленные при дефектовке (карты измерений, см. Приложение Б к настоящему письму), проводимые с одним узлом, не затрагивают другой элемент. 6. В части не применения расценки п. 3.32 Диагностика электродвигателя поясняю, что на этапе диагностики происходит выявление дефектов узлов электродвигателя (дефектовка), имеющих заводское происхождение, либо приобретенных при эксплуатации оборудования. В ходе проведения диагностики могут быть назначены дополнительные операции/испытания/замеры, которые либо невозможно провести на момент разбора двигателя, либо не входящие в стандартный перечень работ, для выявления скрытых дефектов. Диагностика электродвигателя уже проведена в рамках совместной дефектовки в декабре [DATE_TIME]. В операцию Диагностика электродвигателя не входят обозначенные Вами пункты испытаний (п.10, п.12, п.13, п.16), так как целью испытаний, в отличие от диагностики, является проверка возможностей электродвигателя (элементов электродвигателя) и его надежности. Соответственно расценки по диагностике не применимы к расценкам по испытаниям. Также, дополнительно подчеркиваем, что испытания, назначенные после проведения диагностики отдельными пунктами, не входят в стандартный перечень замеров, включенных в дефектовку, оплачиваются отдельно и могут превышать стоимость самой диагностики. Данные испытания проводятся уже на этапе ремонта электродвигателя, а также на этапе сдачи его заказчику. При восстановлении поврежденных элементов и узлов проводят все необходимые испытания элементов электродвигателя, подтверждающие соответствие конструкторской документации на электродвигатель. Сборка электродвигателя допускается только после прохождения индивидуальных испытаний (п.12, п.13, п.16). Приемо-сдаточные испытания (п.10) выполняются строго после проведения всех ремонтных работ и успешно пройденных индивидуальных испытаний. Испытание статора в сборе и испытания каждой катушки по отдельности (п.13) происходит после укладки новых секций. Стоит отметить, что УЗК вала ротора (п.16) и испытание активного железа статора (п.12) не входит в стандартный перечень диагностики, при отсутствии повреждений вала и обмотки они не учитываются, но при их наличии добавляются в общий список работ. В свою очередь, уведомляем, что на дату направления данного письма, учитывая особую важность переданного в ремонт оборудования, обозначенные Заказчиком необходимые сроки ремонта оборудования, статус пилотного проекта для всех участников, [ORGANIZATION] согласовало Исполнителю весь указанный объем работ. Договорные и финансовые обязательства между [ORGANIZATION] и Исполнителем исполняются начиная с [DATE_TIME]. На основании вышеизложенного, прошу согласовать объем и стоимость работ по ремонту электродвигателя, приступить к оформлению соответствующих заявок и согласованию дополнительного соглашения к заключенному между нами Договору в части не вошедшего в Приложение No3 к Договору объема работ и Заявки No2. Приложения: A. Сертификат No[DOCUMENT_NUMBER] от [DATE_TIME] о предоставлении права на оказание услуг по ремонту и сервису электродвигателей производства [ORGANIZATION] на территории стран РФ и СНГ (копия) - на [NUMBER] л. в 1 экз. Б. Карты измерений при проведении дефектовки - на [NUMBER] л. С. Письмо No [FINANCIAL_DATA] от [DATE_TIME] (копия). Д. Письмо No Исх-ИЦ-[DOCUMENT_NUMBER]-[DOCUMENT_NUMBER] [DOCUMENT_NUMBER] от [DATE_TIME] г. (копия) E. Проект Дополнительного соглашения No1 Ж. Проект Заявки No2 С уважением, по доверенности No[DOCUMENT_NUMBER] от [DATE_TIME] [PERSON] [PERSON] [CONTACT]"
Блок деректора по газу,"Директору по газу ООО Газпромнефть-Заполярье [PERSON] Уважаемый [PERSON]! Рассмотрев представленный картографический материал по определению местоположения планируемых к оформлению прав на земельные (лесные) участки под строительство и эксплуатацию линейных объектов ООО [ORGANIZATION] Комплекс по полезному использованию ПНГ [LOCATION] для полноценной эксплуатации Мобильной установки подготовки нефти [LOCATION] (далее - Объект), ООО Газпром добыча [LOCATION] (далее - Общество) согласовывает размещение Объекта в границах указанных земельных участков на территории [LOCATION] с соблюдением природоохранного, лесного, земельного законодательства, положений Закона РФ О недрах. Обращаю Ваше внимание, что для проектирования и строительства объектов в охранной зоне Газосборных сетей с куста No [NUMBER], в том числе пересечений и примыканий к коммуникациям ООО Газпром добыча [LOCATION] необходимо запросить Технические условия. Для определения пересекаемых и примыкаемых коммуникаций и охранных зон ООО Газпром добыча [LOCATION] в запросе на выдачу технических условий прошу представить проектируемые объекты в формате MapInfo или AutoCAD. Для доступа на охраняемый объект/транзитный проезд необходимо оформить отдельную заявку на фирменном бланке организации-заявителя в соответствии с [DOCUMENT_NUMBER] Пропускной и внутриобъектовый режимы на объектах ООО Газпром добыча [LOCATION], Инструкция Пропускной и внутриобъектовый режимы ООО Газпром добыча [LOCATION], которые расположены на сайте Общества по ссылке [CONTACT]. Заместитель генерального директора по ремонту и капитальному строительству [PERSON] [PERSON] [CONTACT] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
Управление по проектным работам,"[ORGANIZATION] АКЦИОНЕРНОЕ ОБЩЕСТВО No [DOCUMENT_NUMBER] От [DATE_TIME]г. На No От [PERSON] [ORGANIZATION] [PERSON] [CONTACT] О заключении Изм.No1 к НЗНNo15 по проекту [OBJECT] Уважаемый [PERSON]! [ORGANIZATION] выражает согласие на заключение Изм.No1 к Наряд-заказу No15 к договору No[DOCUMENT_NUMBER]/[FINANCIAL_DATA]/[FINANCIAL_DATA]/[FINANCIAL_DATA]/[FINANCIAL_DATA] от [DATE_TIME] на выполнение проектных и изыскательских работ по объекту [OBJECT], на условиях согласно приложению, к настоящему письму. Приложение: Проект изм.1 НЗ-15.pdf С уважением, [PERSON] [PERSON] [CONTACT] [LOCATION] [CONTACT] [WEBSITE]"
Блок директора по строительству,"[ORGANIZATION] No-И [ID] на [DOCUMENT_NUMBER] от [DATE_TIME] к [DOCUMENT_NUMBER] от [DATE_TIME] Руководителю проекта [PROJECT] [ORGANIZATION] [PERSON] Тема: Общие вопросы Уважаемый [PERSON]! В ответ на Ваше письмо исх. [DOCUMENT_NUMBER] от [DATE_TIME] г., [ORGANIZATION] подтверждает согласие на заключение Изменения [ID] Наряд-Заказ [ID] к договору [ID] от [DATE_TIME] г. Приложения: 1. График выполнения работ - файл PDF - [FINANCIAL_DATA] Kb; 2. График выполнения ключевых событий - файл PDF - [FINANCIAL_DATA] Kb; 3. Изменение [ID] к Наряд-заказу [ID] - файл PDF - [FINANCIAL_DATA] Kb; С уважением, Заместитель генерального директора по реализации проектов [PERSON] [PERSON] [CONTACT] Почтовый адрес: [LOCATION] Юридический адрес: [LOCATION] Тел.: [CONTACT], e-mail: [CONTACT] [ID], [ID]"
Блок технического директора,"[ORGANIZATION] [ID] / [DOCUMENT_NUMBER] [CONTACT] / [WEBSITE] [PERSON] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] проведении работ по выводу пожарных сигналов на пульт ПЧ Уважаемый [PERSON]! В ответ на Ваше письмо исх. No[DOCUMENT_NUMBER] от [DATE_TIME], сообщаем, что на сегодняшний день произведен закуп и доставка на [OBJECT] и [OBJECT] необходимых материалов и оборудования, для реализации вывода сигнала пожарной сигнализации объектов социально-бытового назначения на пульт пожарных частей. Выполнение строительно-монтажных и пусконаладочных работ запланировано в сжатые сроки, при условии подтверждения от [ORGANIZATION] компенсации затрат на реализацию указанных мероприятий. С уважением, [PERSON] [PERSON] [CONTACT], доб.[NUMBER]"
Блок директора по мощностям,"[ORGANIZATION] [OBJECT] Общество с ограниченной ответственностью [ORGANIZATION] Филиал [LOCATION] - [REGION] [ORGANIZATION] Начальнику управления по бурению [ORGANIZATION] [PERSON] [LOCATION], [ID], [ID], [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от О срыве сроков передачи этапов отставок кустовых площадок Уважаемый [PERSON]! Сообщаем, что, согласно ранее направленному первоначальному графику поэтапной сдачи кустовых площадок [ORGANIZATION] по состоянию на [DATE_TIME] года, идет отставание сдачи следующих этапов по [LOCATION] кустовым площадкам: 1. КП No[NUMBER] [LOCATION] -Этап No1 - НДС (100м) ВЖП План передачи этапа: [DATE_TIME] / Факт [DATE_TIME] (Площадка ВЖП передана [DATE_TIME]) Отклонение: [NUMBER] дней. -Этап No1.1 - Тех. карман Склад ГСМ План передачи этапа: [DATE_TIME] Принято с замечаниями: [DATE_TIME] Отклонение: [NUMBER] дней. -Этап No2 - Площадка пожарных емкостей План передачи этапа: [DATE_TIME] Прогноз: дата не определена (техника снята на строительство ПАД). -Этап No2.1 - Часть НДС под стационаризацию площадка МТР План передачи этапа: [DATE_TIME] / Факт: не передан (работы не завершены). -Этап No2.2 - Водяной амбар План передачи этапа: [DATE_TIME] / Факт: не передан (работы не завершены). -Этап No3.1 - ГФУ План передачи этапа: [DATE_TIME] / Факт: не передан (работы не завершены). -Этап No3.2 - МКОС КТПН План передачи этапа: [DATE_TIME] / Факт: не передан (работы не завершены). 2. КП No[NUMBER].[NUMBER] [LOCATION] Этап No1 - ВЖП План передачи: [DATE_TIME] / Передан по акту: [DATE_TIME] Отклонение: [NUMBER] дней Этап No2 - НДС План передачи этапа: [DATE_TIME] / Прогноз: [DATE_TIME] ([DATE_TIME] этап не принят по причине неготовности) Отклонение: [NUMBER] дней Этап No3 - Тех. карман План передачи этапа: [DATE_TIME] / Прогноз: [DATE_TIME] Отклонение: [NUMBER] дней Этап No4 - Водяной амбар, амбар ПВО План передачи этапа: [DATE_TIME] / Прогноз: [DATE_TIME] В связи с вышеизложенным, сообщаем, что полноценный монтаж буровых установок на данный момент невозможен. На КП No[NUMBER] вынуждены размещать парк ГСМ на территории вахтового жилого поселка (ВЖП), что влечет за собой необходимость последующей перестановки и перевозки дизельного топлива. Это создает дополнительные временные затраты и увеличивает нагрузку на технику. Данные расходы не были учтены в первоначальной стоимости мобилизации и монтажа буровых установок. Также, просим Вас предоставить график отсыпок по завершению строительства КП-[NUMBER] и КП-[NUMBER], а также указать реальные даты готовности кустовых площадок. Директор филиала [PERSON] Исп. [PERSON] [PERSON] Руководитель проекта тел.: [CONTACT] эл. почта: [CONTACT] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат [ID] Владелец [PERSON] Действителен с [DATE_TIME] по [DATE_TIME]"
